,Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
0,21,Male,Other,Undergraduate,Facebook,Networking,4.0,134,4.5,2.2,6.7,Medium,6.8
1,23,Female,Other,Graduate,LinkedIn,Education,1.6,73,7.0,2.4,8.6,Low,7.6
2,22,Male,Canada,Undergraduate,Instagram,Entertainment,4.6,166,4.0,1.8,6.7,Medium,7.0
3,18,Male,Other,High School,Snapchat,Entertainment,7.0,220,1.0,1.7,5.4,Very High,5.3
4,24,Female,Other,Graduate,Facebook,Networking,7.5,237,1.0,1.1,5.0,Very High,4.4
5,19,Female,Other,Undergraduate,Twitter,News,4.1,138,4.6,2.2,6.8,Low,6.8
6,22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,246,1.0,0.9,5.2,Very High,5.3
7,21,Female,Other,Undergraduate,Facebook,Networking,6.0,209,1.0,1.3,5.7,High,4.7
8,24,Male,USA,Graduate,YouTube,Education,4.7,154,2.4,1.1,7.0,High,6.2
9,19,Male,Other,Undergraduate,TikTok,Entertainment,3.6,130,3.7,1.1,8.1,Medium,8.6
10,18,Male,Other,High School,LinkedIn,Education,4.1,133,4.3,1.8,7.3,High,6.8
11,18,Male,Other,High School,Snapchat,Entertainment,7.6,240,1.0,1.1,5.3,Very High,5.5
12,20,Male,Other,Undergraduate,Facebook,Networking,2.4,86,6.2,1.8,8.8,Low,8.5
13,23,Female,Other,Graduate,LinkedIn,Education,6.2,189,1.5,1.4,5.3,Very High,5.4
14,24,Male,India,Graduate,Instagram,Entertainment,2.7,120,5.4,2.4,8.6,Medium,7.8
15,18,Female,Other,High School,Twitter,News,5.2,155,3.3,0.6,7.0,High,6.3
16,22,Female,USA,Undergraduate,YouTube,Education,6.5,226,1.3,0.9,5.4,Very High,5.0
17,21,Male,Australia,Undergraduate,YouTube,Education,6.8,211,1.6,1.5,5.7,Very High,5.0
18,21,Male,Canada,Undergraduate,Facebook,Networking,6.9,212,1.0,1.5,5.9,High,5.0
19,20,Male,Other,Undergraduate,Instagram,Entertainment,5.5,183,2.2,1.0,6.8,Very High,6.8
20,23,Female,Other,Graduate,Facebook,Networking,2.0,100,5.7,2.6,7.9,Low,7.1
21,19,Female,Other,Undergraduate,Snapchat,Entertainment,5.1,170,1.9,2.2,7.1,High,6.5
22,24,Male,Other,Graduate,Facebook,Networking,2.0,110,6.4,2.9,7.8,Low,8.5
23,23,Male,India,Graduate,TikTok,Entertainment,2.0,113,5.6,2.5,7.2,Medium,8.6
24,23,Female,Other,Graduate,LinkedIn,Education,7.1,210,1.0,1.0,5.4,Very High,5.1
25,21,Male,Other,Undergraduate,Instagram,Entertainment,6.2,208,2.2,1.1,4.7,Very High,5.7
26,20,Female,Other,Undergraduate,LinkedIn,Education,2.8,107,5.6,2.5,8.3,Low,8.2
27,21,Female,Other,Undergraduate,TikTok,Entertainment,7.4,249,1.1,1.2,4.6,Very High,4.7
28,20,Female,USA,Undergraduate,TikTok,Entertainment,5.6,175,2.3,1.9,5.7,Very High,5.1
29,23,Female,USA,Graduate,YouTube,Education,2.7,103,5.0,2.4,7.8,Medium,7.7
30,20,Male,Australia,Undergraduate,YouTube,Education,7.3,235,1.0,1.6,6.0,High,5.7
31,24,Male,Other,Graduate,Snapchat,Entertainment,2.3,113,4.4,2.5,8.2,Low,8.1
32,19,Male,India,Undergraduate,LinkedIn,Education,5.6,170,1.2,2.0,6.9,High,6.6
33,22,Female,India,Undergraduate,Facebook,Networking,7.5,234,1.0,1.6,5.2,Very High,4.0
34,24,Male,UK,Graduate,TikTok,Entertainment,5.9,185,1.3,1.1,5.9,Very High,4.9
35,18,Male,UK,High School,Instagram,Entertainment,6.8,219,1.5,0.4,5.5,Very High,4.2
36,23,Male,Other,Graduate,Snapchat,Entertainment,6.7,214,1.0,2.1,5.5,Very High,5.0
37,22,Male,Other,Undergraduate,Instagram,Entertainment,4.5,176,3.2,2.0,6.1,High,6.6
38,22,Male,USA,Undergraduate,LinkedIn,Education,5.7,204,3.3,0.7,6.8,Medium,6.3
39,19,Female,Other,Undergraduate,Facebook,Networking,2.3,108,5.4,2.1,8.0,Low,8.5
40,24,Male,Other,Graduate,Twitter,News,8.3,259,1.0,1.3,5.5,Very High,4.3
41,21,Female,Other,Undergraduate,Twitter,News,6.5,222,1.0,1.2,5.7,High,4.2
42,22,Female,Other,Undergraduate,Twitter,News,6.9,204,1.0,1.0,5.3,Very High,4.5
43,20,Male,Other,Undergraduate,TikTok,Entertainment,8.1,256,1.0,1.7,4.5,Very High,5.7
44,20,Female,Other,Undergraduate,Instagram,Entertainment,7.2,235,1.0,0.7,4.8,Very High,4.2
45,20,Male,Other,Undergraduate,Twitter,News,4.1,132,4.6,1.6,6.6,Medium,6.7
46,18,Male,Other,High School,LinkedIn,Education,7.2,240,1.0,1.3,4.5,Very High,5.9
